gene,lihc_expr
AC008753.6,0.0009267974826138966
AC008758.1,0.01655636535733951
AC008758.4,0.010291320848751196
AC008758.5,0.004187927055700957
AC008758.6,0.004372636020542712
AC008763.3,0.1449170727682117
AC008764.1,0.10654783118261049
AC008764.4,0.11513021081761238
AC008764.7,0.006093451612448273
AC008764.8,0.02462421377965288
AC008770.3,0.003750929982340799
AC008781.7,0.02316413524557949
AC008850.3,0.0016281564489770079
AC008875.3,0.06490666011505541
AC008878.1,0.057624249059372086
AC008878.3,0.03414352643774947
AC008906.1,0.002389007515388866
AC008914.1,0.005802258761151713
AC008937.2,0.01310367199840554
AC008937.3,0.0009147743222919992
AC008969.1,0.020401719359803498
AC008982.1,0.07558514175524395
AC008982.2,0.01278722867350918
AC008984.2,0.008285823323535446
AC008984.6,0.0003206739719848073
AC008984.7,0.0015164642407244236
AC008985.1,0.0010598586234615314
AC009005.2,0.0031808777667414463
AC009014.3,0.0017670075443986918
AC009022.1,0.0009550539266183398
AC009032.1,0.003286695752074943
AC009052.12,0.019261991816773887
AC009053.2,0.008533948045686572
AC009060.3,0.0001422336948143287
AC009061.2,0.005486398856126766
AC009065.4,0.00046937998474360927
AC009090.6,0.003263450965955519
AC009095.4,0.0011522649092733006
AC009113.1,0.01192421338561482
AC009120.10,0.00010947919335332977
AC009120.11,0.00043074744297902145
AC009120.3,0.0033844498383597136
AC009120.4,0.0003919789013124436
AC009120.5,0.003429697947522365
AC009120.6,0.06767212219972227
AC009126.1,0.007617655938429988
AC009133.1,0.013365251911473395
AC009133.12,0.029221264612869467
AC009133.15,0.000712929653750649
AC009133.17,0.008573173075245048
AC009133.21,0.011565586321733743
AC009133.22,0.025706168328840026
AC009133.24,0.012991374708729117
AC009133.6,0.04962947443772343
AC009163.2,0.01352185387035512
AC009163.4,0.03804323068164704
AC009163.7,0.003806028941855534
AC009220.1,0.000636398277701329
AC009228.1,0.002098359151287392
AC009236.2,0.00011422996713480697
AC009237.8,0.002311942436269045
AC009238.6,0.0025327908589978325
AC009245.1,0.0009642079709171208
AC009245.3,0.01696520431941058
AC009262.2,3.271100397184848e-05
AC009264.1,0.0009816335216156435
AC009276.4,0.00023543583624056801
AC009299.2,0.004697273231674577
AC009299.3,0.0005871017168305281
AC009299.4,0.00013533290854565234
AC009299.5,0.000492210058633562
AC009302.2,0.0021717549325681465
AC009303.1,0.03184264243723129
AC009303.2,0.0068786317133061395
AC009303.3,0.0005505219799018292
AC009309.1,0.005298430627915067
AC009312.1,0.0002794313616614411
AC009313.1,0.0011542115390533016
AC009313.2,0.0003537574758444208
AC009362.2,0.030551798894872292
AC009403.1,0.0025752339962526517
AC009403.2,0.021894647904828052
AC009404.1,0.010702022038366035
AC009404.2,0.008697434236414314
AC009410.1,0.0015066875476211616
AC009413.2,0.0034157092517332964
AC009473.1,0.0023810032326609014
AC009480.3,0.006261837699596217
AC009486.2,0.015879359611610744
AC009487.6,0.00276217301681385
AC009495.2,0.004732851006528342
AC009495.3,0.004893127029199651
AC009495.4,0.0057393735306297405
AC009501.4,0.004536864349058406
AC009502.4,0.0003973520143897526
AC009505.2,0.004725117681938826
AC009506.1,0.00925814440036617
AC009506.2,0.0006202774559739836
AC009518.4,0.00022223649258687592
AC009518.8,0.0018000623628057623
AC009542.2,0.0035171734257413256
AC009560.1,0.003175932374218827
AC009690.1,0.0944229428180983
AC009690.3,0.0035031441558417728
AC009779.2,0.016729971492661727
AC009779.3,0.18398207637633318
AC009779.4,0.0008158936989451881
AC009784.3,0.0019134817403530676
AC009812.1,0.015291040979389886
AC009831.1,0.029049457851243594
AC009831.3,0.0042634559487689724
AC009892.10,0.002614388309760063
AC009892.5,0.00024313530714486755
AC009892.9,0.0003569649119900617
AC009945.4,0.0005312380457283112
AC009948.5,0.031631555556142193
AC009948.7,0.0008085227185766501
AC009950.2,0.019391615211624788
