src,dst,src_ac,dst_ac,compartment,edge_type,edge_label,edge_id
1524,1302,O15357,Q5T5C0,plasma_membrane,co_localized,-1,1302|1524|plasma_membrane
1524,1599,O15357,Q5T9L3,plasma_membrane,co_localized,-1,1524|1599|plasma_membrane
1524,148,O15357,Q68DV7,plasma_membrane,co_localized,-1,148|1524|plasma_membrane
1524,158,O15357,Q6R327,plasma_membrane,co_localized,-1,158|1524|plasma_membrane
1524,1692,O15357,Q6ZTN6,plasma_membrane,co_localized,-1,1524|1692|plasma_membrane
1524,1694,O15357,Q7KZI7,plasma_membrane,co_localized,-1,1524|1694|plasma_membrane
1524,1133,O15357,Q7L523,plasma_membrane,co_localized,-1,1133|1524|plasma_membrane
1524,1616,O15357,Q7Z2W7,plasma_membrane,co_localized,-1,1524|1616|plasma_membrane
1524,831,O15357,Q7Z698,plasma_membrane,co_localized,-1,831|1524|plasma_membrane
1524,860,O15357,Q86WV6,plasma_membrane,co_localized,-1,860|1524|plasma_membrane
1524,2053,O15357,Q86YR5,plasma_membrane,co_localized,-1,1524|2053|plasma_membrane
1524,189,O15357,Q86YT6,plasma_membrane,co_localized,-1,189|1524|plasma_membrane
1524,545,O15357,Q8IVT5,plasma_membrane,co_localized,-1,545|1524|plasma_membrane
1524,1696,O15357,Q8IZ07,plasma_membrane,co_localized,-1,1524|1696|plasma_membrane
1524,1362,O15357,Q8IZP1,plasma_membrane,co_localized,-1,1362|1524|plasma_membrane
1524,2085,O15357,Q8N4S9,plasma_membrane,co_localized,-1,1524|2085|plasma_membrane
1524,1248,O15357,Q8N6P7,plasma_membrane,co_localized,-1,1248|1524|plasma_membrane
1524,1427,O15357,Q8N884,plasma_membrane,co_localized,-1,1427|1524|plasma_membrane
1524,1354,O15357,Q8NBJ4,plasma_membrane,co_localized,-1,1354|1524|plasma_membrane
1524,1148,O15357,Q8NBP7,plasma_membrane,co_localized,-1,1148|1524|plasma_membrane
1524,1912,O15357,Q8NF37,plasma_membrane,co_localized,-1,1524|1912|plasma_membrane
1524,220,O15357,Q8NHG8,plasma_membrane,co_localized,-1,220|1524|plasma_membrane
1524,1323,O15357,Q8NHL6,plasma_membrane,co_localized,-1,1323|1524|plasma_membrane
1524,1576,O15357,Q8TCC7,plasma_membrane,co_localized,-1,1524|1576|plasma_membrane
1524,227,O15357,Q8TCQ1,plasma_membrane,co_localized,-1,227|1524|plasma_membrane
1524,1913,O15357,Q8TDM6,plasma_membrane,co_localized,-1,1524|1913|plasma_membrane
1524,240,O15357,Q8WY64,plasma_membrane,co_localized,-1,240|1524|plasma_membrane
1524,243,O15357,Q8WZ73,plasma_membrane,co_localized,-1,243|1524|plasma_membrane
1524,1984,O15357,Q92633,plasma_membrane,co_localized,-1,1524|1984|plasma_membrane
1524,2007,O15357,Q92819,plasma_membrane,co_localized,-1,1524|2007|plasma_membrane
1524,1254,O15357,Q93070,plasma_membrane,co_localized,-1,1254|1524|plasma_membrane
1524,1499,O15357,Q969F2,plasma_membrane,co_localized,-1,1499|1524|plasma_membrane
1524,248,O15357,Q969K3,plasma_membrane,co_localized,-1,248|1524|plasma_membrane
1524,921,O15357,Q96BF3,plasma_membrane,co_localized,-1,921|1524|plasma_membrane
1524,1643,O15357,Q96BI1,plasma_membrane,co_localized,-1,1524|1643|plasma_membrane
