uniprot_ac,gene,enzyme_class,node_id,is_e3,is_dub,is_substrate
Q8TE67,EPS8L3,E3,229,1,0,0
Q8TEB1,DCAF11,E3,230,1,0,0
Q8TEB7,RNF128,E3,231,1,0,0
Q8TEL6,TRPC4AP,E3,232,1,0,0
Q8WU17,RNF139,E3,233,1,0,1
Q8WV16,DCAF4,E3,234,1,0,0
Q8WV44,TRIM41,E3,235,1,0,0
Q8WVD3,RNF138,E3,236,1,0,1
Q8WXG1,RSAD2,E3,237,1,0,0
Q8WXH4,ASB11,E3,238,1,0,0
Q8WXH5,SOCS4,E3,239,1,0,0
Q8WY64,MYLIP,E3,240,1,0,1
Q8WZ19,KCTD13,E3,241,1,0,0
Q8WZ60,KLHL6,E3,242,1,0,0
Q8WZ73,RFFL,E3,243,1,0,1
Q92466,DDB2,E3,244,1,0,1
Q92630,DYRK2,E3,245,1,0,1
Q92844,TANK,E3,246,1,0,1
Q969H0,FBXW7,E3,247,1,0,1
Q969K3,RNF34,E3,248,1,0,0
Q969P5,FBXO32,E3,249,1,0,0
Q969Q1,TRIM63,E3,250,1,0,0
Q969U6,FBXW5,E3,251,1,0,0
Q969V5,MUL1,E3,252,1,0,1
Q96A61,TRIM52,E3,253,1,0,0
Q96AX9,MIB2,E3,254,1,0,1
Q96BH1,RNF25,E3,255,1,0,0
Q96CA5,BIRC7,E3,256,1,0,0
Q96CS3,FAF2,E3,257,1,0,1
Q96D59,RNF183,E3,258,1,0,0
Q96DX5,ASB9,E3,259,1,0,0
Q96EP0,RNF31,E3,260,1,0,0
Q96EP1,CHFR,E3,261,1,0,1
Q96EQ8,RNF125,E3,262,1,0,1
Q96EX2,RNFT2,E3,263,1,0,0
Q96F44,TRIM11,E3,264,1,0,0
Q96FA3,PELI1,E3,265,1,0,1
Q96GF1,RNF185,E3,266,1,0,0
Q96J02,ITCH,E3,267,1,0,1
Q96JP5,ZFP91,E3,268,1,0,0
Q96JY6,PDLIM2,E3,269,1,0,0
Q96K19,RNF170,E3,270,1,0,0
Q96LD4,TRIM47,E3,271,1,0,0
Q96M02,C10orf90,E3,272,1,0,0
Q96M94,KLHL15,E3,273,1,0,0
Q96ME1,FBXL18,E3,274,1,0,0
Q96MT1,RNF145,E3,275,1,0,0
