gene,frequency,mean_importance,total_importance
PLK1,3,1.7484029134114583e-06,5.245208740234375e-06
KLF4,1,5.185604095458984e-06,5.185604095458984e-06
CYBB,1,5.185604095458984e-06,5.185604095458984e-06
MAP3K3,2,2.592802047729492e-06,5.185604095458984e-06
MAPK11,1,5.185604095458984e-06,5.185604095458984e-06
ARHGEF12,1,5.185604095458984e-06,5.185604095458984e-06
NOTCH2,1,5.125999450683594e-06,5.125999450683594e-06
GOPC,1,5.125999450683594e-06,5.125999450683594e-06
PCNP,1,5.066394805908203e-06,5.066394805908203e-06
TTF1,1,5.066394805908203e-06,5.066394805908203e-06
AMFR,1,5.066394805908203e-06,5.066394805908203e-06
GATA4,1,5.066394805908203e-06,5.066394805908203e-06
POLD4,1,5.066394805908203e-06,5.066394805908203e-06
TSC2,2,2.5033950805664062e-06,5.0067901611328125e-06
SMURF1,2,2.5033950805664062e-06,5.0067901611328125e-06
RNF213,3,1.6689300537109375e-06,5.0067901611328125e-06
NANOG,1,5.0067901611328125e-06,5.0067901611328125e-06
ERBB2,1,5.0067901611328125e-06,5.0067901611328125e-06
FANCI,1,4.947185516357422e-06,4.947185516357422e-06
ATCAY,2,2.473592758178711e-06,4.947185516357422e-06
EIF3H,3,1.629193623860677e-06,4.887580871582031e-06
PA2G4,1,4.887580871582031e-06,4.887580871582031e-06
BIRC6,1,4.887580871582031e-06,4.887580871582031e-06
HLA-DRA,2,2.4437904357910156e-06,4.887580871582031e-06
TGFBR1,2,2.4139881134033203e-06,4.827976226806641e-06
AHNAK,3,1.5894571940104167e-06,4.76837158203125e-06
PCNA,3,1.5894571940104167e-06,4.76837158203125e-06
APEX1,1,4.76837158203125e-06,4.76837158203125e-06
STK4,1,4.708766937255859e-06,4.708766937255859e-06
PIK3C3,2,2.3543834686279297e-06,4.708766937255859e-06
ANKRD13D,1,4.708766937255859e-06,4.708766937255859e-06
RNF123,1,4.708766937255859e-06,4.708766937255859e-06
MEX3B,1,4.708766937255859e-06,4.708766937255859e-06
LCK,1,4.649162292480469e-06,4.649162292480469e-06
PCSK9,1,4.649162292480469e-06,4.649162292480469e-06
ADRB2,1,4.649162292480469e-06,4.649162292480469e-06
POLR2G,1,4.649162292480469e-06,4.649162292480469e-06
WT1,1,4.589557647705078e-06,4.589557647705078e-06
DDX5,1,4.589557647705078e-06,4.589557647705078e-06
FBXO30,1,4.589557647705078e-06,4.589557647705078e-06
ECT2,1,4.5299530029296875e-06,4.5299530029296875e-06
NUDT16L1,2,2.2649765014648438e-06,4.5299530029296875e-06
FBXO18,1,4.410743713378906e-06,4.410743713378906e-06
DCAF1,3,1.4702479044596355e-06,4.410743713378906e-06
EPAS1,1,4.351139068603516e-06,4.351139068603516e-06
IKZF1,1,4.351139068603516e-06,4.351139068603516e-06
VPS18,2,2.175569534301758e-06,4.351139068603516e-06
CD74,1,4.291534423828125e-06,4.291534423828125e-06
ELAVL1,3,1.430511474609375e-06,4.291534423828125e-06
FUS,3,1.430511474609375e-06,4.291534423828125e-06
ABI2,1,4.291534423828125e-06,4.291534423828125e-06
XRCC5,3,1.430511474609375e-06,4.291534423828125e-06
DCAF8,1,4.231929779052734e-06,4.231929779052734e-06
PARD6A,1,4.231929779052734e-06,4.231929779052734e-06
TK1,1,4.231929779052734e-06,4.231929779052734e-06
JAK2,1,4.231929779052734e-06,4.231929779052734e-06
NFAT5,1,4.172325134277344e-06,4.172325134277344e-06
ITPR3,2,2.086162567138672e-06,4.172325134277344e-06
IRS2,1,4.112720489501953e-06,4.112720489501953e-06
RBM15,1,4.112720489501953e-06,4.112720489501953e-06
PTPN3,2,2.0265579223632812e-06,4.0531158447265625e-06
ABI3,2,2.0265579223632812e-06,4.0531158447265625e-06
PTCH1,1,3.993511199951172e-06,3.993511199951172e-06
WEE1,1,3.993511199951172e-06,3.993511199951172e-06
SRC,2,1.996755599975586e-06,3.993511199951172e-06
ITPR1,2,1.9669532775878906e-06,3.933906555175781e-06
SPRED2,3,1.3113021850585938e-06,3.933906555175781e-06
HECTD1,2,1.9669532775878906e-06,3.933906555175781e-06
RNF144A,2,1.9371509552001953e-06,3.874301910400391e-06
RUNX1,1,3.814697265625e-06,3.814697265625e-06
SLC9A3,2,1.8775463104248047e-06,3.7550926208496094e-06
RNF167,2,1.8775463104248047e-06,3.7550926208496094e-06
OTUD3,1,3.7550926208496094e-06,3.7550926208496094e-06
USP24,1,3.6954879760742188e-06,3.6954879760742188e-06
TCF4,1,3.6954879760742188e-06,3.6954879760742188e-06
SEPTIN4,1,3.6954879760742188e-06,3.6954879760742188e-06
RC3H1,1,3.6954879760742188e-06,3.6954879760742188e-06
MAGED1,2,1.817941665649414e-06,3.635883331298828e-06
ERG,1,3.635883331298828e-06,3.635883331298828e-06
TTK,1,3.635883331298828e-06,3.635883331298828e-06
CLUAP1,2,1.7881393432617188e-06,3.5762786865234375e-06
BRD3,1,3.5762786865234375e-06,3.5762786865234375e-06
WWP1,1,3.5762786865234375e-06,3.5762786865234375e-06
DTX3L,2,1.7881393432617188e-06,3.5762786865234375e-06
SLC5A7,2,1.7881393432617188e-06,3.5762786865234375e-06
TOP2A,1,3.5762786865234375e-06,3.5762786865234375e-06
UBE2D1,1,3.5762786865234375e-06,3.5762786865234375e-06
CTNNB1,3,1.1722246805826824e-06,3.516674041748047e-06
IRF7,2,1.7285346984863281e-06,3.4570693969726562e-06
HSPA1A,2,1.7285346984863281e-06,3.4570693969726562e-06
CLDN17,2,1.7285346984863281e-06,3.4570693969726562e-06
YBX1,2,1.6987323760986328e-06,3.3974647521972656e-06
AMOTL2,1,3.3974647521972656e-06,3.3974647521972656e-06
NR2C2,1,3.3974647521972656e-06,3.3974647521972656e-06
HSPA5,1,3.3974647521972656e-06,3.3974647521972656e-06
FIS1,1,3.3974647521972656e-06,3.3974647521972656e-06
PINK1,1,3.337860107421875e-06,3.337860107421875e-06
SIRT1,1,3.2782554626464844e-06,3.2782554626464844e-06
SLAMF1,1,3.2782554626464844e-06,3.2782554626464844e-06
ORAI1,1,3.2782554626464844e-06,3.2782554626464844e-06
UBXN6,1,3.2782554626464844e-06,3.2782554626464844e-06
TLN1,2,1.6391277313232422e-06,3.2782554626464844e-06
PSEN1,1,3.2782554626464844e-06,3.2782554626464844e-06
RFFL,1,3.2186508178710938e-06,3.2186508178710938e-06
SNAI1,1,3.2186508178710938e-06,3.2186508178710938e-06
RC3H2,1,3.2186508178710938e-06,3.2186508178710938e-06
CLCN5,2,1.6093254089355469e-06,3.2186508178710938e-06
DTX2,1,3.2186508178710938e-06,3.2186508178710938e-06
EIF4EBP1,1,3.2186508178710938e-06,3.2186508178710938e-06
MCM3,1,3.159046173095703e-06,3.159046173095703e-06
MEX3C,1,3.159046173095703e-06,3.159046173095703e-06
SYVN1,1,3.159046173095703e-06,3.159046173095703e-06
OPTN,2,1.5497207641601562e-06,3.0994415283203125e-06
SNAI2,1,3.0994415283203125e-06,3.0994415283203125e-06
VIM,2,1.5497207641601562e-06,3.0994415283203125e-06
PJA2,2,1.5497207641601562e-06,3.0994415283203125e-06
GJA1,2,1.5497207641601562e-06,3.0994415283203125e-06
CHEK2,1,3.039836883544922e-06,3.039836883544922e-06
TNK2,2,1.519918441772461e-06,3.039836883544922e-06
LMNB1,1,3.039836883544922e-06,3.039836883544922e-06
MLANA,1,2.9802322387695312e-06,2.9802322387695312e-06
TRAF1,1,2.9802322387695312e-06,2.9802322387695312e-06
IRF5,1,2.9802322387695312e-06,2.9802322387695312e-06
LAMP2,2,1.4901161193847656e-06,2.9802322387695312e-06
MARCHF8,2,1.4603137969970703e-06,2.9206275939941406e-06
FBXL17,1,2.9206275939941406e-06,2.9206275939941406e-06
BIRC3,2,1.4603137969970703e-06,2.9206275939941406e-06
TRIB3,1,2.86102294921875e-06,2.86102294921875e-06
CDC25B,2,1.430511474609375e-06,2.86102294921875e-06
ACACB,1,2.86102294921875e-06,2.86102294921875e-06
ITGA3,1,2.8014183044433594e-06,2.8014183044433594e-06
SCNN1G,2,1.3709068298339844e-06,2.7418136596679688e-06
SCN8A,1,2.7418136596679688e-06,2.7418136596679688e-06
FANCD2,1,2.7418136596679688e-06,2.7418136596679688e-06
HLA-DRB1,2,1.3709068298339844e-06,2.7418136596679688e-06
XIAP,1,2.682209014892578e-06,2.682209014892578e-06
ALK,1,2.682209014892578e-06,2.682209014892578e-06
HIP1,1,2.682209014892578e-06,2.682209014892578e-06
OCLN,1,2.682209014892578e-06,2.682209014892578e-06
DDB1,1,2.682209014892578e-06,2.682209014892578e-06
BAX,1,2.682209014892578e-06,2.682209014892578e-06
LYN,1,2.682209014892578e-06,2.682209014892578e-06
TFRC,1,2.6226043701171875e-06,2.6226043701171875e-06
RAD18,1,2.6226043701171875e-06,2.6226043701171875e-06
CISH,1,2.6226043701171875e-06,2.6226043701171875e-06
KDR,2,1.3113021850585938e-06,2.6226043701171875e-06
CASP10,1,2.562999725341797e-06,2.562999725341797e-06
SLC6A4,1,2.562999725341797e-06,2.562999725341797e-06
EPHA2,1,2.562999725341797e-06,2.562999725341797e-06
ROBO1,1,2.5033950805664062e-06,2.5033950805664062e-06
PIP5K1C,2,1.2516975402832031e-06,2.5033950805664062e-06
TNFAIP3,1,2.5033950805664062e-06,2.5033950805664062e-06
MSN,2,1.2516975402832031e-06,2.5033950805664062e-06
PTPRF,1,2.4437904357910156e-06,2.4437904357910156e-06
SREBF2,1,2.384185791015625e-06,2.384185791015625e-06
UBE2N,1,2.384185791015625e-06,2.384185791015625e-06
TAB2,1,2.384185791015625e-06,2.384185791015625e-06
ITGB1,1,2.384185791015625e-06,2.384185791015625e-06
JMY,1,2.384185791015625e-06,2.384185791015625e-06
MAP4K1,1,2.384185791015625e-06,2.384185791015625e-06
RNF183,1,2.3245811462402344e-06,2.3245811462402344e-06
CEP131,1,2.2649765014648438e-06,2.2649765014648438e-06
DTNBP1,2,1.1324882507324219e-06,2.2649765014648438e-06
NUMB,2,1.1324882507324219e-06,2.2649765014648438e-06
CBX5,1,2.2649765014648438e-06,2.2649765014648438e-06
SREBF1,1,2.2649765014648438e-06,2.2649765014648438e-06
VCAM1,1,2.205371856689453e-06,2.205371856689453e-06
