family,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean,rank
Cross-model fusion,esm3b__protbert_bfd | xgboost,0.7616630847884263,0.0225896327605202,0.8476522648292706,0.0293796593250226,0.7590569223594816,0.6901304381785518,0.7267729761529065,0.7961765484959025,0.2158370849291858,21
Cross-model fusion,esm650__esm3b | xgboost,0.7639567399049094,0.02018150792327,0.8476344647781996,0.0286337615503428,0.7625517202677349,0.6930347054075867,0.7265671606431717,0.8038344674748389,0.2123870511514793,22
Pair-level ML,esm2_t36_3B_UR50D | fusion | xgboost,0.7594059217930198,0.0173104248314475,0.8463114032143025,0.0241963713391168,0.7561574664236483,0.6880311906063683,0.7275667907221286,0.7887203113953232,0.2153503508067328,23
Neural pair scorer,NN_Focal,0.7731432334010391,,0.8460297879158614,,0.7572945906315285,0.709980343148741,0.7742345468994226,0.7414011726798085,0.2182510178334517,24
Neural pair scorer,NN_BCE,0.7634841153544609,,0.8440297599198642,,0.7453858606692968,0.6973890234059725,0.7674750584536141,0.7260211086092274,0.2521051704405185,25
Neural pair scorer,NN_Hybrid_Focal_Ranking,0.7700504170685735,,0.8432118067596583,,0.7553222240809063,0.7059413158374339,0.7710195136037543,0.7409154572348685,0.214794313864591,26
Cross-model fusion,esm650__protbert_bfd | xgboost,0.7565983240901739,0.0278462842437885,0.8430386478735216,0.0363653927811232,0.7611505256086145,0.6907762503579888,0.7245971951004692,0.8036934437935155,0.2166958356457675,27
Pair-level ML,esm2_t36_3B_UR50D | per_sequence | xgboost,0.756736881625838,0.0193517133017414,0.8421232555784239,0.0278656223083577,0.7606101117215809,0.6914219323596031,0.7266970117611216,0.7995727415932062,0.2166092245900841,28
Pair-level ML,esm2_t33_650M_UR50D | per_sequence | xgboost,0.7582921426599045,0.0280706700490052,0.8421199546031387,0.0373249790566678,0.7631187131074635,0.6941645187325887,0.7285373795883826,0.8030598984359869,0.2150886490738308,29
Pair-level ML,esm2_t33_650M_UR50D | fusion | xgboost,0.755620551568774,0.0289368906573384,0.8407798508903372,0.0408895141080857,0.760115289419843,0.6920655315160509,0.7290606953430407,0.7954433742369001,0.2156424495086068,30
Neural pair scorer,NN_V2_Focal,0.7581923994381286,,0.8396038628462165,,0.7475365797207653,0.7041705069124424,0.7797187870223847,0.71872738478492,0.2443999337810496,31
Neural pair scorer,NN_Weighted_BCE,0.7626284726896767,,0.8384028296653947,,0.7415221496539193,0.6967454242495249,0.7773957844730726,0.7120597184041177,0.2452115070198517,32
Pair-level ML,esm2_t36_3B_UR50D | per_sequence | random_forest,0.7537014281189693,0.0186941973742848,0.8375525558009211,0.0322578562507208,0.7725122678072573,0.6712468431877945,0.6722532790620888,0.9102207731909944,0.2038400605378896,33
Cross-model fusion,esm3b__protbert_bfd | random_forest,0.7539698396827744,0.0276042345539893,0.8375115431463709,0.0419907052624491,0.7712352138539692,0.6712485354994924,0.6746717982486954,0.9029560793113564,0.2034287582563369,34
Pair-level ML,esm2_t36_3B_UR50D | fusion | random_forest,0.7547270420014989,0.0222686594440006,0.8368461235462116,0.0361724374042174,0.7724767932322008,0.6707638834648129,0.6718302574475845,0.9112896445435296,0.2037688754267548,35
Pair-level ML,esm2_t30_150M_UR50D | per_sequence | xgboost,0.75357084186226,0.0309245276084722,0.8355905930665533,0.03727244241109,0.7600079108300739,0.6928741961519436,0.7320111467187769,0.7926879798476497,0.2170850952801591,36
Pair-level ML,prot_bert_bfd | fusion | xgboost,0.7511369468622238,0.0213421409336601,0.8355362856331532,0.0328502127216274,0.7613668774254371,0.6928722434846,0.7284371915834429,0.7994535207450638,0.2176101327782384,37
Cross-model fusion,esm650__esm3b | random_forest,0.7529688789773065,0.0249570170093586,0.8349019982782154,0.0378349494766464,0.7723864687882145,0.6723782186466714,0.6745736893493601,0.9060879718336924,0.2032701558595983,38
