embedding_model,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
esm2_t12_35M_UR50D,per_residue,logistic,0.6064383014058329,0.018643804360320274,0.7199871486679738,0.030902921783042554,0.6056216749251131,0.031855904119995324,0.5645567445130049,0.019302529803480215,0.6817111230190911,0.028514972971195995,0.5470964467411846,0.048840641662645325,0.24136995296162325,0.0030073119061316284
prot_bert_bfd,per_residue,random_forest,0.610000935400613,0.016222910719095707,0.7178248817842212,0.01994889108899859,0.7364559275777582,0.01924077133329124,0.6205678356635164,0.022974096793011843,0.6426318432432773,0.0339594418926208,0.8645848156051936,0.025279651675152975,0.22951641047338184,0.0056507494268064765
prot_bert_bfd,per_residue,logistic,0.6058837515489301,0.016880856781006214,0.7155599774095737,0.03168144962986164,0.6014953626146726,0.0323816315484641,0.5643962352573615,0.01149693816000768,0.6869200944063745,0.0374593460070125,0.538894163859952,0.05668990181877187,0.24183604721889168,0.0023017823942495116
prot_bert_bfd,per_residue,xgboost,0.6044279545443971,0.010924386694331226,0.715538074677877,0.0201298454751897,0.7005002458517343,0.015878344923435355,0.6037799734437241,0.011865082248928197,0.6536819472986556,0.030674279327036987,0.7555878555499312,0.009665760609019322,0.2622975393223187,0.008031298881026
esm2_t30_150M_UR50D,per_residue,logistic,0.6016811331159625,0.03725147069125964,0.7111955363019354,0.043766563206610404,0.6182041540275554,0.028271484472326996,0.5703730896404489,0.02262348782181999,0.6814522323026335,0.05223451317879228,0.5676039736070344,0.030638041277474545,0.24191327213183303,0.004027148524878508
esm2_t33_650M_UR50D,per_residue,logistic,0.5939956960962636,0.023124836543535362,0.7033687254845298,0.039729610727989556,0.6118603141825266,0.02519787107939514,0.565205290426723,0.011953415239408759,0.6777450531577448,0.0413103747366216,0.5600610756313975,0.03964503078484329,0.24383822492834759,0.0024944802703453835
esm2_t36_3B_UR50D,per_residue,logistic,0.5893850330549297,0.025787778979731914,0.6984171868931025,0.046037431883142216,0.6092648065645806,0.035011205859508836,0.564076648702127,0.019190188778861642,0.6782862860947821,0.047674327549497984,0.5567100006535008,0.054052889667668455,0.24383349046818115,0.0032976240242897034
prot_bert,per_residue,logistic,0.5840812395109946,0.015644549560635504,0.6953405782856071,0.036009495387988456,0.5946159940992393,0.03217099845304301,0.5519685490379859,0.020615930476892405,0.6674575196606982,0.030642412604809013,0.5370496196330778,0.040615122951593724,0.24471023536376527,0.004626359204720529
prot_bert,per_residue,random_forest,0.5551365511303141,0.007006831018521509,0.6777668752101235,0.02673108732447154,0.7168618271097985,0.026713727746989598,0.5903885808013747,0.028606760237422337,0.6226285870685009,0.035235613084803434,0.8462047987748983,0.025252333030380714,0.2383219521752895,0.008203576756028218
prot_bert,per_residue,xgboost,0.547169392568428,0.008469245830712709,0.6708268205325376,0.03169980286204143,0.669116262807947,0.020723418424067892,0.563753677523497,0.016712208039005163,0.6263566672283775,0.03187287057432544,0.7197859828075905,0.02976007402621034,0.2809778253901536,0.014579427407206684
